,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
360,361,1.56,1.407,2012,11,5/10/2012,10,9,9,1,normal,0,9,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
361,362,0.995,0,2012,2,5/11/2012,5,13,13,1,normal,0,5,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,
362,363,1.303,1.011,2012,7,5/12/2012,2,6,2,2,normal,0,2,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
363,364,1.226,1.407,2012,12,5/12/2012,7,9,9,1,normal,0,9,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
364,365,1.56,0,2012,11,5/13/2012,10,13,10,2,normal,0,10,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
365,366,0,1.092,2012,9,5/13/2012,11,8,11,2,normal,0,8,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,
366,367,0.995,1.303,2012,5,5/14/2012,5,2,2,1,normal,0,2,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,
367,368,1.011,1.407,2012,7,5/14/2012,6,9,9,1,normal,0,9,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
368,369,1.092,1.226,2012,8,5/15/2012,8,7,8,2,normal,0,7,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
369,370,1.011,1.303,2012,6,5/16/2012,6,2,2,1,normal,0,6,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,
370,371,1.407,1.092,2012,24,5/17/2012,9,8,8,1,normal,0,8,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
371,372,0.995,1.226,2012,8,5/17/2012,5,7,7,1,normal,0,5,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
372,373,1.56,0,2012,1,5/18/2012,10,11,10,2,normal,0,11,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
373,374,1.092,1.226,2012,24,5/19/2012,8,7,7,1,normal,0,7,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
374,375,1.011,0,2012,2,5/19/2012,6,13,6,2,normal,0,6,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,
375,376,0,0.995,2012,1,5/20/2012,11,5,5,1,normal,0,11,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
376,377,1.56,1.303,2012,11,5/20/2012,10,2,10,2,normal,0,2,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,
377,378,1.011,1.226,2012,2,5/22/2012,6,7,6,2,normal,0,6,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
378,379,1.407,1.303,2012,5,5/23/2012,9,2,2,1,normal,0,9,38,0,MS Dhoni,M Chinnaswamy Stadium,BF Bowden,HDPK Dharmasena,
379,380,1.407,1.226,2012,12,5/25/2012,9,7,7,1,normal,0,9,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,
380,381,1.407,1.011,2012,12,5/27/2012,9,6,9,2,normal,0,6,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk",BF Bowden,SJA Taufel,
381,382,1.226,1.011,2013,7,4/3/2013,7,6,6,1,normal,0,6,0,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,
382,383,0.995,1.303,2013,5,4/4/2013,5,2,2,1,normal,0,5,2,0,CH Gayle,M Chinnaswamy Stadium,VA Kulkarni,C Shamshuddin,
383,384,0.33,0,2013,1,4/5/2013,1,13,13,1,normal,0,1,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
384,385,1.56,1.226,2013,8,4/6/2013,10,7,10,2,normal,0,10,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,
385,386,1.303,1.407,2013,12,4/6/2013,2,9,2,2,normal,0,2,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
386,387,0,1.092,2013,2,4/7/2013,13,8,13,2,normal,0,8,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,SJA Taufel,
